Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,latitude,longitude
lise.lang@gmail.com,Claire,Anderson,,AVONSIDE,NSW,2628,31 Holly Avenue,ABERFOYLE PARK,SA,5159.0,-36.4105528,148.7200731
pete@yahoo.com,Taylor,Jerde,,AITKENVALE,QLD,4814,5578 Zac Track,APPIN,VIC,3579.0,-19.298758,146.7694149
rosemarie@hotmail.com,Maddison,Morissette,,ANGURUGU,NT,822,8704 Koss Trail,ALLAWAH,NSW,2218.0,-13.9795273,136.4613667
fernando.fadel@gmail.com,Isabel,Grant,,AVOCA,NSW,2577,9291 Stewart Manor,AUSTINMER,NSW,2515.0,-34.615,150.4844444
efrain@gmail.com,Justin,Harber,,ADDINGTON,VIC,3352,709 Joshua Avenue,ARUMPO,NSW,2715.0,-37.3854831,143.6842154
armanda@hotmail.com,Jasmine,Durgan,,ABBA RIVER,WA,6280,861 Lewis Station St,ANNUELLO,VIC,3549.0,-33.673978,115.5022645
donald@hotmail.com,Zara,Rohan,,AROONA,QLD,4551,45 Cassin Mall,ALBION,QLD,4010.0,-26.7826045,153.1159508
kaila.huel@hotmail.com,Ryan,Nicolas,,ARCADIA,QLD,4819,15 Leo Estate Dr,ARANBANGA,QLD,4625.0,-19.1432945,146.8595739
neil@hotmail.com,Annabelle,Stokes,,ALFORD,SA,5555,680 Langworth Summit,ALICE,NSW,2469.0,-33.8168462,137.821986
nelia@gmail.com,Chelsea,Botsford,,ALBERTA,QLD,4702,225 Chelsea Meadow,ANABRANCH SOUTH,NSW,2648.0,-24.3466125,149.7766322
emmett@hotmail.com,Angus,Richards,,ASHWOOD,VIC,3147,14 Ava Knoll,ARCHDALE JUNCTION,VIC,3475.0,-37.866672,145.1022346
julia_abbott@gmail.com,Joseph,Goldner,,APSLEY,TAS,7030,58 Heidi Drive,ANKETELL,WA,6167.0,-42.4326647,147.1444454
willian@gmail.com,Zoe,Hackett,,ABERNETHY,NSW,2325,59 Paterson Manor,AUSTRALIA PLAINS,SA,5374.0,-32.8812789,151.3968519
alfreda_will@gmail.com,Sienna,Schmitt,,APOINGA,SA,5413,48 Madeline Mews,ANGASTON,SA,5353.0,-33.9094322,138.9299441
lizzie_boehm@hotmail.com,Alexander,Parker,,ARCHERFIELD,QLD,4108,19 Wilson Grove,ARANBANGA,QLD,4625.0,-27.569486,153.0087254
